A,𐑩
A,𐑱
ABANDONED,𐑩𐑚𐑨𐑯𐑛𐑩𐑯𐑛
ABOUT,𐑩𐑚𐑬𐑑
ABOVE,𐑩𐑚𐑳𐑝
ABROAD,𐑩𐑚𐑮𐑷𐑛
ABSOLUTE,𐑨𐑚𐑕𐑩𐑤𐑵𐑑
ACCOUNT,𐑩𐑒𐑬𐑯𐑑
ACTION,𐑨𐑒𐑖𐑩𐑯
AFFLICTED,𐑩𐑓𐑤𐑦𐑒𐑑𐑩𐑛
AGAIN,𐑩𐑜𐑧𐑯
AGAINST,𐑩𐑜𐑧𐑯𐑕𐑑
AGED,𐑱𐑡𐑛
AGED,𐑱𐑡𐑩𐑛
AGITATION,𐑨𐑡𐑦𐑑𐑱𐑖𐑩𐑯
AGREEING,𐑩𐑜𐑮𐑰𐑦𐑙
AH,𐑭
AID,𐑱𐑛
AIDED,𐑱𐑛𐑩𐑛
AIDENN,𐑱𐑛𐑩𐑯
ALL,𐑷𐑤
ALLAN,𐑨𐑤𐑩𐑯
ALOUD,𐑩𐑤𐑬𐑛
ALSO,𐑷𐑤𐑕𐑴
ALTHOUGH,𐑷𐑤𐑞𐑴
AM,𐑨𐑥
AMID,𐑩𐑥𐑦𐑛
AMONG,𐑩𐑥𐑳𐑙
AN,𐑩𐑯
AN,𐑨𐑯
ANCIENT,𐑱𐑯𐑖𐑩𐑯𐑑
AND,𐑨𐑯𐑛
ANTIQUE,𐑨𐑯𐑑𐑰𐑒
APPALLED,𐑩𐑐𐑷𐑤𐑛
APPALS,𐑩𐑐𐑷𐑤𐑟
APPENNINES,𐑩𐑐𐑧𐑯𐑲𐑯𐑟
APPLIANCES,𐑩𐑐𐑤𐑲𐑩𐑯𐑕𐑩𐑟
APPOINTMENTS,𐑩𐑐𐑶𐑯𐑑𐑥𐑩𐑯𐑑𐑕
APPROACH,𐑩𐑐𐑮𐑴𐑗
APPROACHED,𐑩𐑐𐑮𐑴𐑗𐑑
APPROVED,𐑩𐑐𐑮𐑵𐑝𐑛
AS,𐑨𐑟
ASIDE,𐑩𐑕𐑲𐑛
ASSUMPTIONS,𐑩𐑕𐑳𐑥𐑐𐑖𐑩𐑯𐑟
ASTOUNDED,𐑩𐑕𐑑𐑬𐑯𐑛𐑩𐑛
AT,𐑨𐑑
ATTAINED,𐑩𐑑𐑱𐑯𐑛
ATTENDANTS,𐑩𐑑𐑧𐑯𐑛𐑩𐑯𐑑𐑕
ATTENTION,𐑩𐑑𐑧𐑯𐑖𐑩𐑯
ATTENTIONS,𐑩𐑑𐑧𐑯𐑖𐑩𐑯𐑟
AUGUST,𐑷𐑜𐑩𐑕𐑑
AVENGED,𐑩𐑝𐑧𐑯𐑡𐑛
AWAITING,𐑩𐑢𐑱𐑑𐑦𐑙
AWAY,𐑩𐑢𐑱
AWE,𐑷
B,𐑚𐑰
BACK,𐑚𐑨𐑒
BACKED,𐑚𐑨𐑒𐑑
BADE,𐑚𐑱𐑛
BALL,𐑚𐑷𐑤
BALM,𐑚𐑭𐑥
BAN,𐑚𐑨𐑯
BE,𐑚𐑰
BEAK,𐑚𐑰𐑒
BEAST,𐑚𐑰𐑕𐑑
